State,Num_firms,M_firms,F_firms,MI_firms,NonMI_firms,Pop,Norm_Num_Firms,Norm_M_firms,Norm_F_firms,Norm_MI_firms,Norm_NonMI_firms
Alabama,382350,204661,107467,70538,298292,"4,779,736",7.9993957825,53.5271348241,28.1069700536,18.4485419119,78.0154308879
Alaska,68728,32491,17830,11746,52359,"710,231",9.6768516159,47.2747642882,25.9428471656,17.0905598883,76.1829239902
Arizona,491529,219755,138055,85227,372267,"6,392,017",7.6897323646,44.7084505695,28.0868473681,17.3391600496,75.7365282618
Arkansas,238994,115411,58572,23637,204047,"2,915,918",8.1961838433,48.2903336485,24.5077282275,9.8902064487,85.3774571747
California,3425510,1685826,1039208,1220581,1995280,"37,253,956",9.1950234762,49.2138688838,30.3373220338,35.6320956587,58.2476769882
Colorado,547770,264270,160102,59647,455065,"5,029,196",10.8918005979,48.2447012432,29.2279606404,10.8890592767,83.0759260273
Connecticut,332150,189935,93480,39832,276311,"3,574,097",9.2932564505,57.1835014301,28.1439108836,11.9921722114,83.1886195996
Delaware,74573,38997,19411,11349,57538,"897,934",8.3049533707,52.2937256111,26.0295281134,15.2186448178,77.1566116423
Florida,2009589,1036446,581096,680069,1228495,"18,801,310",10.6885584036,51.5750235496,28.9161614639,33.8411983744,61.1316542835
Georgia,901105,475361,278290,263356,603039,"9,687,653",9.3015821273,52.7531197807,30.8831934125,29.2258948735,66.9221677829
Hawaii,120374,57269,37343,68542,41567,"1,360,301",8.8490709042,47.5758884809,31.0224799375,56.9408676292,34.5315433565
Idaho,151671,61390,35595,6815,136135,"1,567,582",9.675474712,40.4757666264,23.4685602389,4.493278214,89.75677618
Illinois,1123817,578656,343073,223007,850476,"12,830,632",8.7588592674,51.4902337302,30.527479118,19.8437112092,75.6774457051
Indiana,482847,244017,129609,40706,421127,"6,483,802",7.4469732419,50.5371266675,26.8426644465,8.430413775,87.2174829708
Iowa,259931,120029,66238,8129,239103,"3,046,355",8.5325249355,46.177254733,25.4829166202,3.127368417,91.98710427
Kansas,237040,105315,65174,18249,206486,"2,853,118",8.3081036256,44.4292102599,27.4949375633,7.6987006412,87.1101923726
Kentucky,337600,174156,86401,20221,304358,"4,339,367",7.7799365668,51.586492891,25.5927132701,5.9896327014,90.153436019
Louisiana,375808,188952,102849,83279,275944,"4,533,372",8.2898116457,50.2788658038,27.3674323059,22.1599859503,73.426856267
Maine,150389,78603,38486,3392,141001,"1,328,361",11.3213953135,52.2664556583,25.5909674245,2.2554841112,93.7575221592
Maryland,528112,269690,172083,164130,339940,"5,773,552",9.1470900409,51.0668191596,32.5845653952,31.078634835,64.3689217439
Massachusetts,596790,335223,178101,64998,506945,"6,547,629",9.1145970549,56.1710149299,29.8431609109,10.8912682853,84.9452906382
Michigan,816972,411667,248381,108932,673544,"9,883,640",8.2659020361,50.3893646294,30.402633138,13.3336271011,82.4439515675
Minnesota,496657,251840,133260,31074,443844,"5,303,925",9.3639521675,50.7070271838,26.831394705,6.2566318405,89.3663031025
Mississippi,225977,122414,60840,46791,170918,"2,967,297",7.6155841495,54.1709997035,26.9230939432,20.7060895578,75.6351310089
Missouri,501064,236577,130772,42744,434752,"5,988,927",8.3665070554,47.2149266361,26.0988616225,8.5306467836,86.7657624575
Montana,114398,52559,28107,4287,103495,"989,415",11.562185736,45.9439850347,24.5694854805,3.7474431371,90.4692389727
Nebraska,159665,71374,41001,8814,142676,"1,826,341",8.7423432973,44.702345536,25.6793912254,5.5203081452,89.3595966555
Nevada,221260,102256,63285,45533,158110,"2,700,551",8.1931428068,46.2153123023,28.6020970804,20.5789568833,71.4589171111
New Hampshire,137815,76119,35511,4837,127063,"1,316,470",10.4685256785,55.2327395421,25.7671516163,3.5097776004,92.1982367667
New Jersey,781622,449596,213374,182489,563660,"8,791,894",8.8902573211,57.5208988488,27.2988733685,23.3474748664,72.1141421301
New Mexico,157231,67167,49915,48976,96255,"2,059,179",7.6356159421,42.7186750704,31.7462841297,31.149073656,61.2188436123
New York,1956733,1110075,594517,537544,1332274,"19,378,102",10.0976504304,56.7310409749,30.3831437401,27.4715047991,68.086652599
North Carolina,798791,421114,225500,131728,634155,"9,535,483",8.3770376393,52.7189214701,28.2301628336,16.4909219057,79.3893521584
North Dakota,61546,28320,15236,1773,56215,"672,591",9.1505833411,46.0143632405,24.7554674552,2.8807721054,91.3381860722
Ohio,897939,485218,249180,82387,781252,"11,536,504",7.7834584897,54.0368555102,27.7502146582,9.1751221408,87.0050192719
Oklahoma,333797,153769,84385,44941,265958,"3,751,351",8.8980476634,46.0666213297,25.2803350539,13.4635721711,79.6765698913
Oregon,348154,152706,103553,31659,296239,"3,831,074",9.0876344336,43.8616244535,29.7434468655,9.0933897069,85.088495321
Pennsylvania,981501,552636,265038,96208,849521,"12,702,379",7.7269069046,56.3051897043,27.0033346884,9.8021295954,86.5532485448
Rhode Island,96822,54882,26412,9823,81831,"1,052,567",9.1986543374,56.6833984012,27.2789242114,10.1454214951,84.5169486274
